id,timestamp,device_ip,sysName,ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label,if_name
140,2025-09-17 17:00:52,192.168.99.4,S3.cisco.local,5674889,4554483,0,5667,0,6059,336,336,305,1,0,0,0,0,0,10001
141,2025-09-17 17:01:07,192.168.99.1,R1.cisco.local,12181982,11235737,0,37348,0,29598,24720,24683,15676,0,0,12284,37,0,0,2
142,2025-09-17 17:01:07,192.168.99.2,S1.cisco.local,1633468,1011727,0,11846,0,8761,330,330,315,2,0,0,0,0,0,10001
143,2025-09-17 17:01:07,192.168.99.3,S2.cisco.local,5563455,6558730,0,19009,0,15232,659,659,499,3,0,0,0,0,0,10001
144,2025-09-17 17:01:07,192.168.99.4,S3.cisco.local,5677993,4556137,0,5675,0,6073,337,337,306,1,0,0,0,0,0,10001
145,2025-09-17 17:01:22,192.168.99.1,R1.cisco.local,12187152,11240087,0,37385,0,29628,24749,24712,15696,0,0,12292,37,0,0,2
146,2025-09-17 17:01:22,192.168.99.2,S1.cisco.local,1635640,1014421,0,11862,0,8776,331,331,316,2,0,0,0,0,0,10001
147,2025-09-17 17:01:22,192.168.99.3,S2.cisco.local,5564965,6560110,0,19027,0,15244,660,660,500,3,0,0,0,0,0,10001
148,2025-09-17 17:01:22,192.168.99.4,S3.cisco.local,5678057,4557236,0,5676,0,6075,338,338,307,1,0,0,0,0,0,10001
149,2025-09-17 17:01:37,192.168.99.1,R1.cisco.local,12193630,11245956,0,37432,0,29670,24773,24736,15714,0,0,12313,37,0,0,2
150,2025-09-17 17:01:37,192.168.99.2,S1.cisco.local,1637321,1016809,0,11872,0,8788,332,332,317,2,0,0,0,0,0,10001
151,2025-09-17 17:01:37,192.168.99.3,S2.cisco.local,5567293,6562712,0,19052,0,15264,661,661,501,3,0,0,0,0,0,10001
152,2025-09-17 17:01:37,192.168.99.4,S3.cisco.local,5679279,4558730,0,5683,0,6085,339,339,308,1,0,0,0,0,0,10001
153,2025-09-17 17:01:52,192.168.99.1,R1.cisco.local,12199480,11250369,0,37485,0,29707,24815,24778,15738,0,0,12324,37,0,0,2
154,2025-09-17 17:01:52,192.168.99.2,S1.cisco.local,1640018,1020137,0,11895,0,8805,333,333,318,2,0,0,0,0,0,10001
155,2025-09-17 17:01:52,192.168.99.3,S2.cisco.local,5569280,6564764,0,19076,0,15279,662,662,502,3,0,0,0,0,0,10001
156,2025-09-17 17:01:52,192.168.99.4,S3.cisco.local,5679407,4559498,0,5685,0,6089,340,340,309,1,0,0,0,0,0,10001
157,2025-09-17 17:02:07,192.168.99.1,R1.cisco.local,12205494,11254410,0,37530,0,29738,24849,24812,15757,0,0,12335,37,0,0,2
