ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5959413249366691,-0.5225640686677256,0.0,-0.6059228203496776,0.0,-0.5462238327439743,-0.8857179212083807,-0.9035769474820105,-1.0070913038676685,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994086785319466,-0.5284990043926933,0.0,-0.6085201901326673,0.0,-0.550768848514572,-0.9038391653891547,-0.9225661891949399,-1.021685411080607,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5803895268629515,-0.48287045812925405,0.0,-0.6026381687980742,0.0,-0.5389537076453549,0.4567173542207573,0.5009782384709099,0.1307953559266189,-1.1960999625683568,0.0,-0.35258898550093487,-0.3442236156442802,0.0,0
-0.607482236617208,-0.5587753483381511,0.0,-0.6071891759936173,0.0,-0.5491569012188565,-0.9041768283242001,-0.9229200259970443,-1.0209292397224237,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5959380140829886,-0.5225512922724441,0.0,-0.6059201579410554,0.0,-0.5462196102232258,-0.8856616440525398,-0.9035179746816597,-1.0070156867318503,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994086785319466,-0.5284940653298194,0.0,-0.6085201901326673,0.0,-0.5507683206994785,-0.9037828882333138,-0.9225072163945892,-1.0216097939447886,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5803750803076515,-0.4828397604815305,0.0,-0.6026305619162965,0.0,-0.538940512268016,0.45851822320766655,0.5028653680821328,0.1319296129638939,-1.1960999625683568,0.0,-0.35258485151791225,-0.3442236156442802,0.0,0
-0.6074763953253577,-0.5587494354075867,0.0,-0.6071865135849951,0.0,-0.5491500396226404,-0.9041205511683592,-0.9228610531966935,-1.0208536225866054,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5959241114536504,-0.5225401793809777,0.0,-0.6059155938119888,0.0,-0.5462138042571968,-0.8856053668966989,-0.9034590018813091,-1.0069400695960318,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994086785319466,-0.5284885774821816,0.0,-0.6085201901326673,0.0,-0.5507672650692913,-0.9037266110774729,-0.9224482435942385,-1.0215341768089703,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.580363507100367,-0.48280901995999725,0.0,-0.6026259977872299,0.0,-0.538931011596332,0.4595874891686439,0.5039858512887964,0.13276140145789558,-1.1960999625683568,0.0,-0.3525807175348896,-0.3442236156442802,0.0,0
-0.6074704298764942,-0.5587295076608522,0.0,-0.6071846118645506,0.0,-0.5491442336566112,-0.9040642740125183,-0.9228020803963428,-1.020778005450787,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
